"file","source","row","col","width","height","avg_brightness","stddev"
"vitorino_185232_r1c2.jpg","Captura de tela 2026-07-23 185232.png","1","2","1080","1350","10,82","21,45"
"vitorino_185232_r1c3.jpg","Captura de tela 2026-07-23 185232.png","1","3","1080","1350","54,39","69,02"
"vitorino_185232_r1c4.jpg","Captura de tela 2026-07-23 185232.png","1","4","1080","1350","62,02","70,42"
"vitorino_185232_r2c1.jpg","Captura de tela 2026-07-23 185232.png","2","1","1080","1350","33,83","58,86"
"vitorino_185232_r2c2.jpg","Captura de tela 2026-07-23 185232.png","2","2","1080","1350","53,87","69,25"
"vitorino_185232_r2c3.jpg","Captura de tela 2026-07-23 185232.png","2","3","1080","1350","51,3","64,18"
"vitorino_185232_r2c4.jpg","Captura de tela 2026-07-23 185232.png","2","4","1080","1350","28,5","47,98"
"vitorino_185241_r1c1.jpg","Captura de tela 2026-07-23 185241.png","1","1","1080","1350","27,34","51,7"
"vitorino_185241_r1c2.jpg","Captura de tela 2026-07-23 185241.png","1","2","1080","1350","57,15","54,03"
"vitorino_185241_r1c3.jpg","Captura de tela 2026-07-23 185241.png","1","3","1080","1350","52,21","65,36"
"vitorino_185241_r1c4.jpg","Captura de tela 2026-07-23 185241.png","1","4","1080","1350","23,2","42,73"
"vitorino_185241_r2c1.jpg","Captura de tela 2026-07-23 185241.png","2","1","1080","1350","52,95","63,77"
"vitorino_185241_r2c2.jpg","Captura de tela 2026-07-23 185241.png","2","2","1080","1350","34,15","43,89"
"vitorino_185241_r2c3.jpg","Captura de tela 2026-07-23 185241.png","2","3","1080","1350","22,71","42,19"
"vitorino_185241_r2c4.jpg","Captura de tela 2026-07-23 185241.png","2","4","1080","1350","19,42","24,78"
"vitorino_185302_r1c1.jpg","Captura de tela 2026-07-23 185302.png","1","1","1080","1350","47,55","57,67"
"vitorino_185302_r1c2.jpg","Captura de tela 2026-07-23 185302.png","1","2","1080","1350","31,85","53,3"
"vitorino_185302_r1c3.jpg","Captura de tela 2026-07-23 185302.png","1","3","1080","1350","30,09","40,41"
"vitorino_185302_r1c4.jpg","Captura de tela 2026-07-23 185302.png","1","4","1080","1350","47,8","50,24"
"vitorino_185302_r2c1.jpg","Captura de tela 2026-07-23 185302.png","2","1","1080","1350","76,15","77,07"
"vitorino_185302_r2c2.jpg","Captura de tela 2026-07-23 185302.png","2","2","1080","1350","33,81","57,01"
"vitorino_185302_r2c3.jpg","Captura de tela 2026-07-23 185302.png","2","3","1080","1350","11,83","18,38"
"vitorino_185302_r2c4.jpg","Captura de tela 2026-07-23 185302.png","2","4","1080","1350","72,17","72,62"
"vitorino_185318_r1c1.jpg","Captura de tela 2026-07-23 185318.png","1","1","1080","1350","28,26","53,16"
"vitorino_185318_r1c2.jpg","Captura de tela 2026-07-23 185318.png","1","2","1080","1350","64,08","72,48"
"vitorino_185318_r1c3.jpg","Captura de tela 2026-07-23 185318.png","1","3","1080","1350","15,48","24,6"
"vitorino_185318_r1c4.jpg","Captura de tela 2026-07-23 185318.png","1","4","1080","1350","45,32","59,82"
"vitorino_185318_r2c1.jpg","Captura de tela 2026-07-23 185318.png","2","1","1080","1350","56,91","77,83"
"vitorino_185318_r2c2.jpg","Captura de tela 2026-07-23 185318.png","2","2","1080","1350","42,29","62,75"
